axe_numero,axe_nom,axe_theme,axe_engagement,cible_code,cible_libelle,cible_explication
3,RSE,Éthique,S'engager pour des pratiques numériques éthiques et responsables,3.5,En améliorant les conditions des travailleurs du numérique,Se soucier de celles et ceux qui fabriquent et font tourner le numérique.
3,RSE,Éthique,S'engager pour des pratiques numériques éthiques et responsables,3.6,"En s’inscrivant résolument dans des dispositifs d’éthique algorithmique sur l’utilisation et la protection des données, notamment au regard de l’intelligence artificielle","Se fixer des règles claires sur les données et l'IA, et les respecter."
3,RSE,Éthique,S'engager pour des pratiques numériques éthiques et responsables,3.7,En déployant et valorisant la démarche RSE,"Mener une démarche responsable, et la faire connaître."
4,Résilience et stratégie,Résilience,"S'engager vers un numérique responsable, indispensable pour assurer la résilience des organisations",4.1,"En respectant l'application des normes communes pour collecter, rassembler, analyser et partager les données sur les impacts des Technologies de l’Information et de la Communication (TIC).","Mesurer nos impacts avec les mêmes méthodes que les autres, pour pouvoir se comparer."
4,Résilience et stratégie,Résilience,"S'engager vers un numérique responsable, indispensable pour assurer la résilience des organisations",4.2,En participant à une démarche collaborative de conception et d’évaluation des services numériques en adéquation avec les réels besoins.,"Construire les outils avec celles et ceux qui s'en servent, à partir de vrais besoins."
4,Résilience et stratégie,Résilience,"S'engager vers un numérique responsable, indispensable pour assurer la résilience des organisations",4.3,En restant innovant dans l’utilisation de nouveaux outils numériques et assurer leur analyse d'impact avec transparence et visibilité pour les utilisateurs,"Continuer d'innover, en mesurant l'impact et en le disant clairement."
4,Résilience et stratégie,Résilience,"S'engager vers un numérique responsable, indispensable pour assurer la résilience des organisations",4.4,En permettant et en garantissant plus de souveraineté numérique,"Garder la maîtrise de nos données, de nos outils et de nos fournisseurs."
5,Management,Valeurs,S'engager à faire les choses avec sens en respectant et en préservant les ressources qui produisent,5.1,En incluant l’innovation sociale dans la définition de nouveaux systèmes et services numériques.,"Se demander à quoi sert vraiment un nouveau service, et pour qui."
5,Management,Valeurs,S'engager à faire les choses avec sens en respectant et en préservant les ressources qui produisent,5.2,"En valorisant les initiatives internes qui mobilisent l’organisation, favorisent les collaborations transversales et le bien-être au travail.",Reconnaître les initiatives internes qui améliorent le travail de tous.
5,Management,Valeurs,S'engager à faire les choses avec sens en respectant et en préservant les ressources qui produisent,5.3,"En sollicitant l’engagement et l’expertise des parties prenantes (sur les sujets environnementaux, sociaux et sociétaux)",Demander leur avis aux personnes concernées avant de décider.
5,Management,Valeurs,S'engager à faire les choses avec sens en respectant et en préservant les ressources qui produisent,5.4,En permettant aux générations futures d’innover pour construire un monde ouvert à l’autre soucieux de l’équilibre des écosystèmes et du bien-vivre ensemble.,Laisser une organisation où celles et ceux qui suivront pourront encore agir.
5,Management,Valeurs,S'engager à faire les choses avec sens en respectant et en préservant les ressources qui produisent,5.5,En suivant les indicateurs de performances et de conformité,Suivre quelques indicateurs simples pour voir si on progresse.
5,Management,Valeurs,S'engager à faire les choses avec sens en respectant et en préservant les ressources qui produisent,5.6,En proposant des axes d’amélioration et d'innovation autour du NR ( y compris s'ils ne sont pas numériques ),"Proposer des améliorations, même quand elles ne sont pas numériques."
